,Magnetic Field (Oe),True Field (Oe),Field correction
0,99997.8395,99061.23727638682,936.602223613183
1,84028.145,83200.3506002303,827.7943997697002
2,69444.957,68758.01145385453,686.9455461454636
3,56250.2715,55690.579721853246,559.6917781467564
4,44443.7035,43988.54315874066,455.16034125934675
5,34027.205,33660.54787200733,366.65712799267203
6,25000.248,24706.353488901656,293.8945110983441
7,17361.938,17135.623026652727,226.314973347271
8,11111.1915,10931.64345538021,179.54804461979074
9,6250.2425,6100.552115946184,149.69038405381616
10,2778.026,2637.937306644789,140.08869335521103
11,694.742,567.8313942472312,126.91060575276879
12,0.296,-135.33774881656893,135.63374881656893
13,-694.141,-825.0602193295457,130.91921932954574
14,-2777.6405,-2896.054274228868,118.41377422886808
15,-6249.752,-6325.324255629472,75.57225562947133
16,-11110.891,-11114.168334907139,3.2773349071394478
17,-17361.0165,-17277.858804215746,-83.15769578425534
18,-24996.7765,-24824.008298841927,-172.76820115807277
19,-34026.82,-33750.22230301829,-276.59769698171294
20,-44443.793,-44052.45481772156,-391.33818227843585
21,-56249.3615,-55733.73088518637,-515.6306148136282
22,-69442.332,-68802.57957939488,-639.7524206051166
23,-84026.051,-83235.19120359316,-790.8597964068467
24,-99999.3905,-99041.98285376119,-957.4076462388039
25,-84028.203,-83193.73792899595,-834.4650710040441
26,-69446.496,-68756.39896372649,-690.0970362735097
27,-56249.4745,-55682.02787055795,-567.446629442049
28,-44444.25,-43983.05424536515,-461.19575463484944
29,-34028.8455,-33656.81599460431,-372.0295053956943
30,-25002.9825,-24704.091333564113,-298.8911664358857
31,-17363.33,-17135.79756773474,-227.5324322652632
32,-11111.097,-10930.328888820022,-180.7681111799775
33,-6250.2745,-6094.901194618972,-155.37330538102833
34,-2778.1315,-2637.614512549672,-140.5169874503281
35,-694.628,-557.3563685308244,-137.27163146917565
36,-0.2895,135.99722780885716,-136.28672780885717
37,694.2085,829.0344897950699,-134.82598979506997
38,2777.6175,2898.9970902138384,-121.37959021383858
39,6249.8545,6325.896735301971,-76.04223530197032
40,11111.039,11116.4617097418,-5.422709741798826
41,17360.794,17279.274489352425,81.51951064757668
42,24998.955,24824.803727932,174.15127206800025
43,34024.9355,33748.73279224999,276.2027077500097
44,44442.9555,44051.36118107286,391.59431892713474
45,56249.092,55726.69828764056,522.3937123594369
46,69441.594,68791.95780191991,649.6361980800866
47,84026.051,83229.82389507629,796.227104923717
48,99997.719,99041.62722430313,956.0917756968702
