,Magnetic Field (Oe),True Field (Oe),Field correction
0,89997.8865,88798.76124085087,1199.1252591491211
1,79723.426,78621.6370827835,1101.7889172165014
2,70069.16,69087.60014258079,981.5598574192118
3,61038.516,60187.565157134915,850.9508428650879
4,52632.354,51887.96623760363,744.3877623963708
5,44844.7265,44204.50488649606,640.2216135039343
6,37682.3125,37132.25200314997,550.0604968500265
7,31142.904,30670.007763265792,472.89623673420647
8,25225.788,24819.253705732586,406.5342942674142
9,19931.0155,19604.388257681556,326.6272423184455
10,15261.556,14985.932584096357,275.62341590364304
11,11211.347,10980.597960440344,230.749039559656
12,7785.619,7592.740064924503,192.87893507549688
13,4983.0035,4813.614511398512,169.38898860148765
14,2803.201,2652.1575765666407,151.0434234333593
15,1246.126,1107.6820735518688,138.44392644813115
16,311.3655,173.90963499283365,137.45586500716635
17,0.237,-132.0579379816069,132.2949379816069
18,-311.3225,-442.1970270839204,130.87452708392038
19,-1245.659,-1369.1982477254064,123.53924772540631
20,-2802.638,-2904.8064550744057,102.16845507440576
21,-4982.577,-5049.910603216763,67.33360321676264
22,-7785.414,-7803.261020938381,17.84702093838132
23,-11210.8675,-11166.815198676242,-44.052301323758
24,-15259.1045,-15140.501584467129,-118.60291553287061
25,-19930.0805,-19737.92548960332,-192.15501039668015
26,-25222.6705,-24938.368867698497,-284.30163230150356
27,-31139.1915,-30764.422530371223,-374.768969628778
28,-37678.555,-37215.09185605388,-463.4631439461227
29,-44843.611,-44262.17035738945,-581.4406426105488
30,-52627.506,-51940.67123792391,-686.8347620760906
31,-61035.1875,-60223.997848016304,-811.1896519836955
32,-70069.922,-69145.70167514143,-924.220324858572
33,-79722.4295,-78648.00307967154,-1074.4264203284547
34,-89998.836,-88776.03850859082,-1222.7974914091756
35,-79724.184,-78611.08530581943,-1113.0986941805604
36,-70068.59,-69090.4017254143,-978.1882745857001
37,-61039.584,-60172.570137239636,-867.0138627603665
38,-52630.4215,-51883.18668136545,-747.234818634548
39,-44844.2145,-44203.44779986219,-640.766700137814
40,-37683.1075,-37130.12337696602,-552.9841230339807
41,-31143.582,-30667.931767689162,-475.65023231083615
42,-25227.99,-24825.34671526355,-402.6432847364522
43,-19933.162,-19607.896793223157,-325.2652067768431
44,-15258.2585,-14981.1261582442,-277.13234175579964
45,-11211.264,-10982.247787840673,-229.01621215932573
46,-7785.7695,-7587.211882560792,-198.55761743920812
47,-4982.868,-4811.081890963502,-171.7861090364986
48,-2802.9965,-2647.9999422872293,-154.99655771277094
49,-1245.8595,-1102.9662908313258,-142.89320916867428
50,-311.4875,-172.14515471454328,-139.34234528545673
51,-0.393,136.00261172025512,-136.39561172025512
52,311.1045,444.1126904883111,-133.00819048831113
53,1245.371,1370.387973640895,-125.016973640895
54,2802.5745,2912.2206090727996,-109.64610907279939
55,4982.4925,5053.87527381416,-71.38277381415992
56,7785.3815,7805.876935408572,-20.49543540857121
57,11210.902,11168.691525183704,42.21047481629648
58,15258.623,15138.076219886912,120.54678011308715
59,19929.796,19737.572360727667,192.22363927233164
60,25221.556,24935.720016735482,285.8359832645183
61,31139.046,30767.7818457561,371.2641542438978
62,37681.553,37214.411732991895,467.1412670081045
63,44843.8495,44270.85853012754,572.9909698724587
64,52628.0195,51933.48398624608,694.5355137539227
65,61037.2325,60240.72568254777,796.5068174522312
66,70066.801,69141.90461859066,924.896381409344
67,79720.555,78656.46261470237,1064.0923852976266
68,90001.4765,88777.53016203809,1223.946337961912
