,Magnetic Field (Oe),True Field (Oe),Field correction
0,104999.8555,103981.51736507128,1018.3381349287229
1,88229.8125,87345.62193295031,884.1905670496926
2,72914.914,72183.93439371484,730.9796062851674
3,59062.57,58460.1689128719,602.4010871280989
4,46663.283,46172.93845958171,490.34454041829304
5,35727.4215,35337.738901652774,389.68259834722267
6,26250.7895,25942.560695228276,308.22880477172293
7,18232.0335,17994.444907833036,237.5885921669651
8,11667.0445,11481.548385421935,185.49611457806532
9,6562.639,6411.762669041528,150.87633095847195
10,2916.8065,2774.5931290637695,142.2133709362306
11,729.363,595.5364854503583,133.82651454964173
12,0.2745,-133.84181726739695,134.11631726739694
13,-728.967,-862.0848442843507,133.11784428435067
14,-2916.2425,-3033.123002667273,116.88050266727305
15,-6562.082,-6629.712036388952,67.63003638895134
16,-11666.3845,-11660.364839916429,-6.01966008357158
17,-18227.8655,-18130.308881321394,-97.55661867860545
18,-26247.3965,-26055.03108446307,-192.3654155369295
19,-35727.32,-35428.22480322561,-299.0951967743895
20,-46666.166,-46250.10607535839,-416.05992464160954
21,-59059.2015,-58504.79561823045,-554.405881769555
22,-72915.7735,-72229.73906982288,-686.0344301771111
23,-88228.6055,-87386.74156534763,-841.8639346523705
24,-104999.098,-103980.0310888208,-1019.066911179194
25,-88227.34,-87350.82251296457,-876.517487035424
26,-72918.6795,-72178.44918024878,-740.2303197512229
27,-59058.387,-58461.190116436344,-597.196883563658
28,-46663.6875,-46173.4359394493,-490.25156055069965
29,-35728.8105,-35336.58040521316,-392.2300947868425
30,-26250.503,-25937.41334141454,-313.0896585854607
31,-18230.1395,-17991.97701984546,-238.1624801545404
32,-11666.9505,-11478.863350860598,-188.08714913940275
33,-6562.557,-6409.351082636002,-153.2059173639982
34,-2916.7815,-2776.099029921125,-140.6824700788752
35,-729.4395,-597.3979129214732,-132.04158707852673
36,-0.3235,136.64188754838415,-136.96538754838414
37,728.852,861.7266034308743,-132.87460343087434
38,2916.425,3032.148541666409,-115.72354166640889
39,6562.4025,6630.948024521673,-68.54552452167263
40,11666.4275,11665.891405165765,0.536094834234973
41,18225.971,18131.820295102585,94.15070489741629
42,26249.1135,26055.859352521067,193.25414747893228
43,35727.84,35427.16748904117,300.67251095882966
44,46666.336,46245.19221993818,421.1437800618223
45,59061.25,58501.520131713165,559.729868286835
46,72915.203,72219.42100547854,695.7819945214578
47,88229.074,87386.18705222732,842.8869477726694
48,104999.2035,103975.64779262457,1023.5557073754317
