,Magnetic Field (Oe),True Field (Oe),Field correction
0,59998.6975,59209.211932651786,789.4855673482161
1,57497.701,56704.18224913789,793.5187508621093
2,54999.5875,54224.829099817216,774.7584001827854
3,52497.287,51753.74570649261,743.5412935073837
4,49998.3845,49288.16893443686,710.2155655631432
5,47499.1545,46815.19190771764,683.9625922823543
6,44997.1425,44353.48169101368,643.6608089863221
7,42499.5975,41890.2643536069,609.3331463931027
8,39998.711,39417.52907054564,581.1819294543602
9,37499.551,36954.66190609536,544.8890939046396
10,34995.9535,34484.71452362456,511.23897637543996
11,32499.6785,32017.865099337847,481.8134006621549
12,29998.496,29540.395266615516,458.10073338448274
13,27498.043,27081.06013871866,416.98286128133986
14,24996.706,24608.50882834047,388.197171659529
15,22497.7965,22139.39373723467,358.4027627653304
16,19997.6925,19668.777342069723,328.9151579302779
17,17496.4045,17198.415921808282,297.98857819171826
18,14997.9365,14724.496628730874,273.43987126912543
19,12500.003,12256.678688587002,243.3243114129982
20,10000.273,9780.662018737026,219.61098126297293
21,7500.0865,7302.313700179143,197.77279982085747
22,5000.3475,4827.946916062179,172.40058393782056
23,2500.3285,2347.7190968677182,152.60940313228184
24,0.218,-129.7857816517431,130.00378165174308
25,-2499.8065,-2601.8815476895293,102.07504768952913
26,-5000.0205,-5063.46747152893,63.44697152893059
27,-7499.9655,-7521.0197532455795,21.054253245579275
28,-9999.895,-9976.55847712201,-23.33652287799123
29,-12499.9775,-12432.443196652031,-67.5343033479694
30,-14995.942,-14884.636241316788,-111.30575868321102
31,-17499.4405,-17342.2315736475,-157.2089263525013
32,-19997.4375,-19795.34690857052,-202.09059142948172
33,-22496.3605,-22255.298725719676,-241.06177428032242
34,-24997.9885,-24724.127827700864,-273.86067229913533
35,-27498.498,-27188.243483104645,-310.25451689535475
36,-29999.538,-29648.95084686187,-350.5871531381308
37,-32496.6125,-32111.997642260685,-384.6148577393142
38,-34998.9535,-34572.76982438774,-426.1836756122648
39,-37496.6795,-37036.9777260933,-459.7017739067014
40,-39998.1055,-39500.42674154417,-497.678758455826
41,-42499.037,-41962.76000718797,-536.2769928120251
42,-44997.6935,-44428.32336461979,-569.3701353802098
43,-47499.754,-46891.49692707222,-608.2570729277795
44,-49997.795,-49355.273166895255,-642.5218331047436
45,-52498.598,-51817.064522022876,-681.533477977122
46,-54997.8125,-54278.16999058692,-719.6425094130827
47,-57499.2615,-56743.24825793737,-756.0132420626323
48,-59998.869,-59206.71736236771,-792.1516376322907
49,-57498.078,-56701.68029251973,-796.3977074802679
50,-55000.7345,-54223.063164274834,-777.6713357251647
51,-52497.9945,-51751.95905615157,-746.0354438484283
52,-49996.5255,-49281.920673851855,-714.6048261481483
53,-47499.1875,-46820.89480322464,-678.2926967753592
54,-44999.531,-44355.09795475975,-644.4330452402501
55,-42500.9805,-41887.53259734999,-613.4479026500048
56,-39999.8205,-39417.388136385074,-582.4323636149275
57,-37498.48,-36935.63030644795,-562.8496935520525
58,-35000.117,-34483.878334065725,-516.2386659342737
59,-32499.3445,-32007.685476509974,-491.659023490025
60,-30002.338,-29544.198755292335,-458.13924470766506
61,-27501.2995,-27082.788241176673,-418.5112588233278
62,-25000.6035,-24605.582549895793,-395.02095010420817
63,-22502.1485,-22135.942356481493,-366.206143518506
64,-19998.58,-19668.48556507504,-330.0944349249621
65,-17497.6815,-17190.679054070268,-307.00244592973104
66,-14998.92,-14723.999243173794,-274.92075682620634
67,-12500.2625,-12250.778771154159,-249.48372884584205
68,-10000.173,-9776.499694928352,-223.67330507164843
69,-7500.2665,-7299.099124102177,-201.16737589782315
70,-5000.251,-4825.862069912156,-174.38893008784453
71,-2500.215,-2349.574093562717,-150.64090643728332
72,0.02,136.91829469405937,-136.89829469405936
73,2499.8575,2609.728464314107,-109.87096431410691
74,4999.6145,5064.536586030272,-64.92208603027211
75,7499.89,7521.593283850128,-21.703283850127264
76,9999.724,9977.907263902793,21.816736097207468
77,12499.7815,12433.775927358454,66.00557264154486
78,14998.968,14883.216639452812,115.7513605471886
79,17499.4395,17341.486135895277,157.95336410472373
80,19996.9695,19797.220309150736,199.74919084926296
81,22499.668,22261.6745690465,237.99343095350196
82,24998.1495,24721.41033418602,276.7391658139786
83,27497.5335,27187.628977816585,309.9045221834167
84,29998.527,29648.692508073513,349.8344919264855
85,32500.2985,32111.755449707558,388.5430502924428
86,34997.619,34577.343817919485,420.27518208051333
87,37499.836,37038.39156643377,461.4444335662338
88,39997.594,39504.41119328891,493.1828067110837
89,42497.8185,41964.70847142845,533.1100285715511
90,44999.2695,44427.47035201248,571.79914798752
91,47498.619,46888.14745179061,610.4715482093889
92,49998.959,49355.610675277305,643.3483247226977
93,52499.7325,51817.47932542394,682.2531745760571
94,54998.2595,54282.43063844704,715.82886155296
95,57498.041,56739.63742130157,758.4035786984241
96,59999.18,59200.36702227444,798.8129777255599
