,Magnetic Field (Oe),True Field (Oe),Field correction
0,114999.375,113852.9673540942,1146.4076459057978
1,101870.9295,100842.39841496175,1028.531085038252
2,89533.535,88637.53854211718,895.9964578828221
3,77994.1915,77203.99989057286,790.1916094271437
4,67250.465,66563.6648940127,686.8001059872913
5,57300.8105,56722.01160859464,578.7988914053567
6,48151.129,47648.994519625834,502.13448037416674
7,39794.3265,39371.17948281999,423.14701718001015
8,32232.6365,31873.660340645485,358.9761593545154
9,25469.4545,25166.267481413026,303.18701858697386
10,19501.8315,19255.093715552986,246.73778444701384
11,14326.0665,14118.227892132298,207.8386078677031
12,9948.236,9772.426047322455,175.80995267754588
13,6367.1495,6214.758793376241,152.3907066237598
14,3581.44,3435.380331026711,146.05966897328926
15,1591.9685,1456.9493078318862,135.0191921681137
16,398.0455,267.6949473728164,130.35055262718362
17,0.351,-132.47425188242957,132.82525188242957
18,-397.6855,-532.658012467009,134.97251246700904
19,-1591.42,-1719.197912982319,127.77791298231887
20,-3581.323,-3688.774826542793,107.45182654279324
21,-6366.4295,-6438.518551673469,72.08905167346893
22,-9947.7235,-9969.021398070754,21.297898070753945
23,-14324.8395,-14286.136780366953,-38.70271963304731
24,-19497.7705,-19385.433345894457,-112.33715410554214
25,-25465.9025,-25281.45405042898,-184.44844957102032
26,-32229.5185,-31972.916039334392,-256.6024606656065
27,-39789.6855,-39442.79105904125,-346.8944409587493
28,-48147.9455,-47715.20230592579,-432.7431940742099
29,-57298.08,-56764.25232430926,-533.8276756907435
30,-67248.0195,-66622.47966222808,-625.5398377719102
31,-77991.7225,-77258.21056281017,-733.5119371898327
32,-89531.9845,-88681.76746001728,-850.2170399827301
33,-101866.871,-100890.72773370726,-976.14326629274
34,-114997.4375,-113870.94529743618,-1126.4922025638225
35,-101868.672,-100855.06570167659,-1013.6062983234151
36,-89534.8985,-88643.57396737725,-891.3245326227479
37,-77993.4065,-77207.79292959956,-785.613570400441
38,-67250.211,-66567.92147703528,-682.2895229647111
39,-57297.285,-56715.987683079926,-581.2973169200777
40,-48151.525,-47644.19892559332,-507.32607440667925
41,-39793.125,-39369.92995445334,-423.19504554665764
42,-32231.0745,-31867.529208838143,-363.54529116185586
43,-25467.997,-25160.36553006627,-307.63146993373084
44,-19499.869,-19252.658944115024,-247.21005588497428
45,-14327.3475,-14117.844415092282,-209.5030849077175
46,-9948.4765,-9769.774419751404,-178.70208024859676
47,-6366.939,-6205.081320231929,-161.85767976807165
48,-3581.343,-3431.211022691817,-150.13197730818274
49,-1591.819,-1452.2282162192023,-139.59078378079766
50,-397.993,-261.77195842110206,-136.22104157889794
51,-0.135,135.4099505832159,-135.5449505832159
52,397.592,537.3506457910701,-139.75864579107008
53,1591.4475,1723.44446767753,-131.99696767752994
54,3581.162,3692.457724953108,-111.29572495310822
55,6366.572,6441.24292444804,-74.67092444803984
56,9947.8605,9970.506558841023,-22.64605884102275
57,14324.9595,14287.096549871248,37.862950128752345
58,19495.0715,19385.218872236594,109.8526277634046
59,25463.798,25282.33703340236,181.46096659763862
60,32234.304,31969.839571373723,264.46442862627737
61,39790.1465,39443.16809205939,346.97840794060903
62,48146.2035,47703.40227064127,442.8012293587308
63,57299.2945,56754.80336097159,544.4911390284105
64,67246.5235,66592.74669935003,653.7768006499682
65,77995.414,77242.9540634456,752.4599365543982
66,89532.383,88666.31870590064,866.0642940993566
67,101867.422,100861.80934949865,1005.6126505013526
68,114999.289,113850.61663915943,1148.6723608405737
