,Magnetic Field (Oe),True Field (Oe),Field correction
0,129998.125,128694.88926782236,1303.2357321776362
1,115157.9765,113999.17502133842,1158.8014786615822
2,101209.6405,100188.46398872779,1021.176511272206
3,88165.3595,87279.63254937805,885.72695062196
4,76020.301,75253.27871820494,767.0222817950707
5,64776.512,64126.45141129221,650.0605887077909
6,54427.5375,53870.55127936536,556.986220634637
7,44983.0485,44511.29837051546,471.75012948453514
8,36437.7695,36041.52854543484,396.2409545651608
9,28791.419,28459.550476726814,331.86852327318775
10,22043.623,21778.04795725279,265.5750427472085
11,16193.704,15976.597628775662,217.10637122433764
12,11245.8395,11062.897085607807,182.9424143921933
13,7197.5465,7040.411795309304,157.1347046906967
14,4048.576,3900.8551334972653,147.72086650273468
15,1799.347,1661.210493190067,138.13650680993305
16,450.148,317.5356592144599,132.61234078554014
17,-0.09,-135.72236652527914,135.63236652527914
18,-449.6255,-584.0525441045407,134.42704410454076
19,-1798.9935,-1921.4687912945774,122.47529129457735
20,-4048.225,-4153.474319948547,105.24931994854751
21,-7197.235,-7256.298833446358,59.06383344635833
22,-11245.477,-11249.483700815963,4.006700815962176
23,-16193.2725,-16128.69497203921,-64.57752796078967
24,-22041.5165,-21897.792972425254,-143.723527574748
25,-28788.595,-28566.705147721226,-221.88985227877492
26,-36435.598,-36124.07864114171,-311.5193588582915
27,-44980.9235,-44579.65705017481,-401.26644982519065
28,-54427.4665,-53918.76454587106,-508.701954128941
29,-64775.123,-64157.79615625835,-617.3268437416482
30,-76021.3005,-75296.24920459313,-725.051295406869
31,-88163.242,-87316.8053308286,-846.4366691713949
32,-101210.285,-100226.01196959047,-984.2730304095312
33,-115153.25,-114015.79574871203,-1137.4542512879707
34,-129996.242,-128707.67961688954,-1288.5623831104604
35,-115155.973,-113996.92244510159,-1159.0505548984074
36,-101210.8985,-100195.62743137313,-1015.2710686268692
37,-88166.4065,-87273.24173978274,-893.1647602172598
38,-76021.023,-75249.65496032726,-771.3680396727432
39,-64775.4355,-64115.58338534187,-659.8521146581261
40,-54426.539,-53863.22314087032,-563.3158591296742
41,-44983.082,-44506.58470880306,-476.4972911969453
42,-36439.1035,-36037.31773703323,-401.78576296677056
43,-28790.993,-28453.315036412405,-337.6779635875937
44,-22043.301,-21771.923263213004,-271.37773678699523
45,-16196.1385,-15969.82021533112,-226.31828466887964
46,-11245.924,-11061.98587735921,-183.93812264079133
47,-7197.429,-7033.553326817872,-163.87567318212768
48,-4048.4445,-3900.240432032786,-148.2040679672141
49,-1799.461,-1660.028145259761,-139.432854740239
50,-449.958,-314.14798326433646,-135.81001673566357
51,-0.1345,132.6364487352999,-132.7709487352999
52,449.4745,586.7028481107828,-137.22834811078286
53,1799.299,1929.802322226141,-130.5033222261411
54,4048.1685,4156.299449399088,-108.13094939908797
55,7196.8755,7257.11770658964,-60.24220658963986
56,11245.2445,11248.894965658954,-3.6504656589531805
57,16195.5425,16130.882196406043,64.660303593957
58,22040.3795,21902.698477010195,137.68102298980375
59,28786.327,28566.07079986764,220.2562001323604
60,36434.0275,36128.39363971638,305.63386028361856
61,44982.299,44580.8794170545,401.4195829454984
62,54427.1955,53924.77614865869,502.419351341312
63,64772.9825,64174.85583409603,598.1266659039684
64,76020.91,75298.8066579519,722.1033420480962
65,88165.0665,87313.5272641898,851.5392358101963
66,101208.289,100219.75150600002,988.5374939999892
67,115156.496,114015.76766564489,1140.7283343551098
68,129999.746,128701.45300386104,1298.29299613896
