,Magnetic Field (Oe),True Field (Oe),Field correction
0,79998.5745,78939.61788952381,1058.9566104761907
1,70866.074,69879.15826450313,986.9157354968629
2,62284.744,61416.32654805206,868.417451947942
3,54257.8475,53490.9715361406,766.8759638594056
4,46784.381,46119.495397921426,664.8856020785752
5,39863.2285,39289.13285356344,574.095646436559
6,33497.2555,32989.16944923437,508.08605076563254
7,27682.6615,27244.877959882007,437.7835401179909
8,22423.2065,22066.41532324349,356.79117675650923
9,17718.09,17416.790295214036,301.2997047859644
10,13564.15,13310.14898327779,254.0010167222099
11,9965.469,9747.477107786797,217.99189221320194
12,6920.7405,6733.441123177128,187.29937682287164
13,4429.1515,4262.609205609078,166.5422943909216
14,2491.618,2341.5720675681405,150.04593243185946
15,1107.3155,968.2902701223278,139.02522987767213
16,277.067,144.93411459951818,132.13288540048183
17,0.3165,-132.5423600456949,132.85886004569488
18,-276.665,-408.6561054848416,131.99110548484157
19,-1106.8725,-1232.9589668042968,126.08646680429683
20,-2491.3315,-2601.8176458400376,110.4861458400378
21,-4428.608,-4507.669638568853,79.06163856885269
22,-6920.2695,-6953.464198294259,33.19469829425907
23,-9965.1445,-9938.787707871521,-26.356792128479356
24,-13563.6565,-13479.221841258792,-84.43465874120739
25,-17714.9775,-17555.95197332794,-159.02552667205964
26,-22419.1035,-22182.149566647513,-236.9539333524881
27,-27679.29,-27353.40548301665,-325.8845169833512
28,-33491.4495,-33080.28147631677,-411.1680236832326
29,-39862.1875,-39354.13860319107,-508.04889680892666
30,-46780.0195,-46170.76135683838,-609.25814316162
31,-54254.4455,-53536.74765620805,-717.6978437919533
32,-62282.336,-61456.21717438844,-826.1188256115638
33,-70863.3635,-69913.43963917336,-949.923860826646
34,-79998.379,-78922.33478239777,-1076.0442176022334
35,-70866.9725,-69875.55548509007,-991.4170149099373
36,-62283.1425,-61413.2300625614,-869.912437438601
37,-54257.723,-53484.33702231305,-773.3859776869504
38,-46784.752,-46103.02403084945,-681.7279691505537
39,-39864.0195,-39283.7421401809,-580.2773598191052
40,-33495.8065,-32992.78206262818,-503.024437371816
41,-27681.498,-27238.17916663691,-443.31883336308965
42,-22423.505,-22055.354669980516,-368.1503300194854
43,-17713.341,-17406.272840804933,-307.068159195067
44,-13564.3445,-13312.78034250122,-251.5641574987785
45,-9965.7375,-9747.974120463856,-217.76337953614347
46,-6920.596,-6727.519663553414,-193.07633644658563
47,-4429.1635,-4263.216944838084,-165.94655516191597
48,-2491.5675,-2344.9291858856113,-146.63831411438878
49,-1107.374,-970.1495161732648,-137.2244838267352
50,-277.0595,-140.2954578074936,-136.76404219250642
51,0.0085,136.31682752256717,-136.30832752256717
52,276.5325,411.72194482711393,-135.1894448271139
53,1107.18,1237.1595406907566,-129.9795406907565
54,2491.201,2600.9499800408466,-109.74898004084662
55,4428.7285,4507.7148561875665,-78.98635618756634
56,6920.503,6959.520558973077,-39.01755897307703
57,9965.1525,9947.059160749784,18.09333925021565
58,13563.6255,13482.18964359008,81.43585640992023
59,17714.858,17559.17641439062,155.68158560938173
60,22421.364,22189.19695424214,232.16704575786207
61,27680.888,27364.35544852743,316.53255147257005
62,33493.914,33093.7293557228,400.1846442772003
63,39861.225,39365.24319567492,495.981804325078
64,46781.453,46177.665358972525,603.7876410274766
65,54255.471,53546.69750449403,708.7734955059641
66,62281.951,61440.43038746966,841.5206125303375
67,70864.6715,69929.91121720527,934.7602827947267
68,79998.09,78934.95110876234,1063.138891237657
