,Magnetic Field (Oe),True Field (Oe),Field correction
0,109997.844,108921.22717801554,1076.6168219844549
1,97438.082,96458.16637317455,979.9156268254446
2,85639.336,84779.82096440403,859.5150355959631
3,74602.383,73849.84205224793,752.5409477520734
4,64325.3245,63675.93715070163,649.3873492983694
5,54806.621,54247.098036825904,559.5229631740949
6,46057.445,45575.81198023345,481.633019766552
7,38062.7385,37653.25559482333,409.4829051766719
8,30829.2295,30477.890622351162,351.3388776488391
9,24360.6775,24065.820245722407,294.8572542775946
10,18651.775,18410.07241937227,241.70258062773064
11,13702.668,13503.376020157932,199.29197984206803
12,9515.5555,9340.639510927322,174.9159890726787
13,6090.025,5938.2209511207675,151.80404887923214
14,3425.716,3280.283336206051,145.4326637939489
15,1522.587,1384.3157576073208,138.27124239267914
16,380.644,249.34444579064586,131.29955420935414
17,0.135,-135.78141321770224,135.91641321770223
18,-380.566,-515.3747631240398,134.80876312403979
19,-1522.2785,-1649.0007969665621,126.72229696656223
20,-3425.0895,-3536.9567961389635,111.86729613896341
21,-6089.6195,-6166.03893071424,76.41943071424066
22,-9515.5555,-9540.492977596654,24.93747759665348
23,-13702.3335,-13672.171218421767,-30.162281578233888
24,-18649.7295,-18551.775409793554,-97.95409020644729
25,-24358.838,-24190.097822040996,-168.74017795900363
26,-30829.9345,-30583.652663014287,-246.2818369857123
27,-38060.0685,-37736.04121401209,-324.02728598791145
28,-46054.664,-45644.02525041225,-410.63874958774977
29,-54808.297,-54298.270553737195,-510.0264462628038
30,-64325.5665,-63730.89157162007,-594.674928379929
31,-74599.203,-73902.63985600595,-696.563143994048
32,-85638.582,-84825.41204058907,-813.1699594109232
33,-97436.1055,-96501.12587846491,-934.9796215350943
34,-109999.184,-108930.10407671044,-1069.0799232895515
35,-97438.711,-96461.03775044953,-977.6732495504693
36,-85641.875,-84782.88880218232,-858.9861978176777
37,-74602.6135,-73848.7386599894,-753.8748400106124
38,-64321.25,-63670.90439734436,-650.3456026556378
39,-54810.525,-54247.314790172444,-563.2102098275573
40,-46056.537,-45572.01131722606,-484.52568277393584
41,-38064.33,-37656.563544388526,-407.766455611476
42,-30831.4795,-30477.151029861732,-354.32847013826904
43,-24362.295,-24067.05263343448,-295.24236656551875
44,-18653.613,-18411.83827992255,-241.77472007745018
45,-13702.7545,-13504.289544963834,-198.4649550361646
46,-9515.8245,-9340.249638992711,-175.57486100728966
47,-6090.0535,-5935.750372468342,-154.303127531658
48,-3425.854,-3278.644006315046,-147.2099936849536
49,-1522.4785,-1382.8914594090572,-139.5870405909427
50,-380.886,-244.73980664127387,-136.14619335872615
51,-0.149,135.13128078590367,-135.28028078590367
52,380.5,517.1838835340212,-136.68388353402122
53,1522.462,1652.1476634951744,-129.68566349517437
54,3425.4285,3537.8661834197837,-112.43768341978375
55,6089.671,6165.298830203778,-75.6278302037781
56,9515.4335,9542.269426719027,-26.835926719028066
57,13702.1805,13673.273162373163,28.907337626837034
58,18648.8565,18550.043778613337,98.81272138666463
59,24358.945,24187.07126138509,171.87373861491142
60,30828.8275,30584.579220874624,244.24827912537512
61,38059.3185,37734.26914420751,325.04935579249286
62,46052.9805,45636.30159358211,416.67890641788836
63,54808.1995,54296.85704291441,511.3424570855932
64,64324.4725,63706.349320401794,618.1231795982094
65,74600.234,73892.33849244186,707.8955075581325
66,85642.625,84819.11245460359,823.5125453964138
67,97438.9025,96490.26509915487,948.6374008451239
68,109998.836,108917.9741469218,1080.8618530781969
