,Magnetic Field (Oe),True Field (Oe),Field correction
0,40000.008,39494.86481529173,505.1431847082713
1,36664.967,36146.79442946472,518.1725705352801
2,33331.256,32840.80353153238,490.45246846762166
3,29999.9445,29541.002647218644,458.94185278135774
4,26664.2245,26254.53020658564,409.694293414359
5,23331.356,22961.41202511492,369.9439748850782
6,19999.021,19667.766258925203,331.2547410747975
7,16664.1885,16370.903479330455,293.2850206695457
8,13333.445,13082.18031143045,251.26468856955034
9,10000.2255,9780.042105934093,220.18339406590712
10,6666.8395,6484.280011140524,182.559488859476
11,3333.468,3172.3413699384573,161.12663006154253
12,0.0925,-128.5299462785631,128.6224462785631
13,-3333.0925,-3423.869888629426,90.77738862942579
14,-6666.3655,-6698.520991920791,32.155491920791064
15,-9999.8295,-9976.000808448161,-23.828691551838347
16,-13333.029,-13252.193379131979,-80.83562086802158
17,-16665.422,-16523.323863035133,-142.09813696486526
18,-19998.821,-19799.28579325497,-199.53520674502943
19,-23332.1765,-23080.486852399375,-251.6896476006259
20,-26666.324,-26363.490297904944,-302.83370209505665
21,-29997.138,-29643.52939138645,-353.6086086135474
22,-33331.846,-32925.592727335,-406.25327266499517
23,-36665.1855,-36210.833130580424,-454.35236941957555
24,-39997.8375,-39496.70856242589,-501.12893757411075
25,-36664.996,-36154.90685835892,-510.08914164108137
26,-33329.4295,-32834.76910490663,-494.66039509337133
27,-29998.5255,-29548.216437501447,-450.3090624985525
28,-26664.527,-26254.465271617897,-410.06172838210114
29,-23333.3165,-22965.851404076115,-367.4650959238861
30,-19996.4495,-19664.848956358648,-331.60054364135067
31,-16664.6075,-16370.657561718104,-293.949938281894
32,-13333.705,-13080.273356833537,-253.4316431664629
33,-10000.24,-9778.753280821538,-221.4867191784615
34,-6667.0325,-6479.535093573444,-187.49740642655615
35,-3333.6055,-3173.586720866264,-160.0187791337362
36,-0.2215,136.1564955182643,-136.3779955182643
37,3333.36,3423.972751548505,-90.612751548505
38,6666.626,6704.440474899748,-37.81447489974744
39,9999.8585,9978.439042467038,21.419457532962042
40,13333.1175,13253.651974031605,79.46552596839501
41,16664.799,16523.207430908413,141.59156909158628
42,19997.487,19800.06977713243,197.41722286757067
43,23330.0935,23080.202919295003,249.89058070499595
44,26665.358,26367.603090324803,297.75490967519727
45,29998.006,29639.345374019904,358.6606259800974
46,33331.9555,32927.5556680803,404.39983191969804
47,36663.666,36212.25797292644,451.4080270735576
48,40000.758,39500.30330801994,500.4546919800632
