,Magnetic Field (Oe),True Field (Oe),Field correction
0,94999.8985,94130.78978976348,869.1087102365127
1,79827.1095,79064.99713698529,762.1123630147194
2,65974.0785,65344.02738540369,630.0511145963101
3,53438.453,52920.65831860006,517.7946813999442
4,42218.621,41791.140025516055,427.480974483944
5,32324.5565,31978.687371374694,345.86912862530517
6,23750.801,23480.497377461266,270.3036225387332
7,16494.242,16280.625107318818,213.61689268118062
8,10555.807,10382.646962501645,173.16003749835545
9,5937.7275,5791.846532697544,145.88096730245616
10,2639.0105,2502.684934667091,136.3255653329088
11,659.962,527.3156118268563,132.6463881731437
12,0.3925,-132.74808879984244,133.14058879984245
13,-659.534,-792.1526823173492,132.61868231734923
14,-2638.7625,-2754.3257651840067,115.56326518400692
15,-5937.3745,-6013.785004230474,76.41050423047454
16,-10555.318,-10568.82553897247,13.507538972471593
17,-16489.582,-16423.639694710484,-65.94230528951448
18,-23749.2755,-23593.916075843827,-155.3594241561732
19,-32324.3505,-32071.6646851274,-252.6858148725987
20,-42221.408,-41860.57451091484,-360.833489085162
21,-53436.361,-52958.29446141629,-478.06653858370555
22,-65970.2815,-65371.05427430571,-599.2272256942888
23,-79823.715,-79092.62959173553,-731.0854082644655
24,-94998.9495,-94120.4380426829,-878.5114573171013
25,-79827.695,-79058.66144958138,-769.0335504186223
26,-65973.4215,-65330.86050585276,-642.5609941472358
27,-53433.723,-52914.81242031326,-518.910579686737
28,-42220.422,-41799.62735950462,-420.79464049537637
29,-32328.624,-31985.901548023332,-342.7224519766678
30,-23750.88,-23488.483869955486,-262.3961300445153
31,-16493.7765,-16289.093618988167,-204.68288101183316
32,-10555.8755,-10391.521938562064,-164.35356143793615
33,-5937.5685,-5798.44069636671,-139.12780363329057
34,-2638.8815,-2497.6865379807587,-141.1949620192413
35,-659.936,-524.8576995292335,-135.07830047076652
36,0.1375,134.86219766216686,-134.72469766216688
37,659.511,793.7036591749466,-134.19265917494658
38,2638.653,2758.442579018954,-119.7895790189541
39,5937.2365,6018.926640014363,-81.69014001436335
40,10555.25,10568.794186009423,-13.544186009423356
41,16489.865,16420.239619889642,69.6253801103594
42,23749.669,23590.695059568745,158.97394043125678
43,32326.4095,32074.08823437201,252.32126562799021
44,42219.289,41851.85851716164,367.4304828383538
45,53435.7265,52947.948005529805,487.7784944701925
46,65972.1795,65352.46855203067,619.7109479693318
47,79827.164,79079.49907395907,747.6649260409322
48,95000.5975,94100.563993813,900.0335061869991
