,Magnetic Field (Oe),True Field (Oe),Field correction
0,19998.3245,19805.784128982075,192.54037101792346
1,18335.502,18131.03585509398,204.4661449060186
2,16669.1595,16457.184028561613,211.97547143838892
3,15000.0665,14784.462275050528,215.60422494947306
4,13333.3105,13121.659104424223,211.6513955757764
5,11666.6895,11461.43361185546,205.25588814454022
6,10000.044,9802.135781575322,197.90821842467813
7,8333.448,8146.8495452110365,186.59845478896386
8,6666.7505,6489.446936698817,177.3035633011832
9,5000.104,4831.909745980819,168.19425401918124
10,3333.6555,3178.04582649225,155.6096735077499
11,1666.8775,1521.530644587852,145.346855412148
12,0.2415,-128.9519104456464,129.1934104456464
13,-1666.4425,-1779.6140986155174,113.17159861551727
14,-3333.032,-3427.0622863301364,94.03028633013628
15,-4999.8365,-5066.7806931571595,66.94419315715913
16,-6666.446,-6702.334409999727,35.88840999972672
17,-8332.9845,-8339.088329869126,6.103829869125548
18,-9999.895,-9976.609171358272,-23.285828641728585
19,-11666.6465,-11616.489262620791,-50.15723737920962
20,-13333.187,-13252.762482397708,-80.42451760229233
21,-14998.3575,-14886.005271038952,-112.35222896104824
22,-16664.403,-16523.551286371105,-140.85171362889378
23,-18333.7705,-18163.39464780692,-170.37585219307948
24,-19997.719,-19798.48818419296,-199.23081580704093
25,-18334.7605,-18124.40054360517,-210.35995639483008
26,-16669.709,-16451.063487784133,-218.6455122158659
27,-15003.0605,-14779.700690246746,-223.359809753254
28,-13333.432,-13119.303826143236,-214.128173856765
29,-11666.834,-11457.14832427217,-209.68567572783104
30,-10000.261,-9797.949221838584,-202.31177816141644
31,-8333.557,-8141.812732468646,-191.74426753135504
32,-6666.7995,-6484.2877043979215,-182.51179560207856
33,-5000.213,-4826.59019674239,-173.62280325761003
34,-3333.636,-3170.4064170310444,-163.22958296895558
35,-1666.7825,-1516.133508090117,-150.64899190988308
36,-0.181,137.5615548009636,-137.7425548009636
37,1666.352,1789.6292972374588,-123.2772972374587
38,3333.1055,3429.785508449919,-96.68000844991866
39,4999.6445,5065.865792589004,-66.2212925890035
40,6666.4505,6705.516464306592,-39.06596430659192
41,8333.121,8341.601648236536,-8.480648236536581
42,9999.7025,9981.531142192263,18.171357807736058
43,11666.4325,11616.262808906382,50.169691093618894
44,13333.204,13256.726019550324,76.47798044967567
45,14997.2375,14889.439316678878,107.79818332112154
46,16667.122,16528.89973662094,138.22226337905886
47,18330.6225,18163.422307750498,167.20019224950374
48,19999.007,19806.90366083887,192.10333916113086
