,Magnetic Field (Oe),True Field (Oe),Field correction
0,140000.3985,138604.2648948672,1396.1336051328108
1,124016.7145,122764.38184162538,1252.3326583746239
2,108999.363,107904.2542865603,1095.1087134396948
3,94948.367,93992.12664865414,956.2403513458557
4,81869.8945,81043.90879637108,825.9857036289177
5,69758.125,69049.02877572352,709.0962242764799
6,58615.6895,58017.954364264835,597.7351357351654
7,48440.4885,47941.510707423666,498.97779257633374
8,39240.2015,38821.47702409011,418.7244759098903
9,31003.945,30647.702147525597,356.24285247440275
10,23741.624,23457.635565709254,283.9884342907462
11,17439.8405,17208.593471114466,231.24702888553293
12,12110.941,11923.562998895808,187.37800110419266
13,7751.1575,7589.909796256958,161.24770374304262
14,4360.029,4213.374347644864,146.65465235513602
15,1937.878,1799.7133436148054,138.16465638519458
16,484.7295,353.0779593783919,131.6515406216081
17,0.259,-135.20692478026757,135.46592478026756
18,-484.2545,-619.7373470363468,135.4828470363468
19,-1937.451,-2062.2316142685636,124.78061426856357
20,-4359.709,-4460.626015714134,100.91701571413432
21,-7750.7535,-7799.919697029044,49.16619702904427
22,-12108.081,-12083.68170121946,-24.39929878053954
23,-17437.6935,-17351.86627542627,-85.82722457373166
24,-23734.1565,-23570.486761832282,-163.6697381677186
25,-31001.2805,-30753.460055690313,-247.82044430968745
26,-39238.1875,-38892.32924123564,-345.8582587643614
27,-48440.094,-47998.45694457591,-441.6370554240857
28,-58615.484,-58057.71225169377,-557.7717483062297
29,-69758.1055,-69094.22877172552,-663.8767282744811
30,-81866.418,-81080.46046916231,-785.9575308376952
31,-94946.5545,-94022.72611649954,-923.828383500455
32,-108995.211,-107906.98260001877,-1088.2283999812207
33,-124011.8905,-122769.74900551976,-1242.1414944802382
34,-139999.9455,-138582.91853718832,-1417.0269628116803
35,-124015.5545,-122751.40028965713,-1264.1542103428656
36,-108997.25,-107902.4297559026,-1094.8202440973982
37,-94947.6055,-93990.88184307016,-956.7236569298402
38,-81868.2305,-81042.69270028453,-825.5377997154719
39,-69758.176,-69051.63914885929,-706.5368511407141
40,-58613.717,-58016.54262251819,-597.1743774818096
41,-48444.576,-47935.88496531618,-508.69103468381945
42,-39239.0605,-38818.920962465585,-420.13953753441456
43,-31005.194,-30647.933361734827,-357.260638265172
44,-23736.9785,-23454.554211005194,-282.4242889948073
45,-17442.3485,-17209.198782026273,-233.1497179737271
46,-12110.842,-11921.92332241195,-188.91867758804983
47,-7751.1235,-7588.763126791146,-162.36037320885407
48,-4360.2255,-4211.16913218781,-149.05636781218982
49,-1937.9425,-1797.517943771586,-140.42455622841408
50,-484.536,-349.3421757385574,-135.19382426144261
51,0.1,136.24440067209068,-136.14440067209068
52,484.548,620.9461026391527,-136.39810263915274
53,1937.433,2065.7839590776784,-128.35095907767845
54,4359.914,4461.406042949199,-101.49204294919946
55,7750.6655,7806.852580994137,-56.18708099413652
56,12110.4855,12103.110137943851,7.375362056149243
57,17436.8525,17354.399840903898,82.45265909610316
58,23735.3425,23573.131627197676,162.21087280232314
59,31000.8945,30754.767889294726,246.12661070527247
60,39235.7715,38894.44862430895,341.3228756910539
61,48441.4495,47998.0932009599,443.3562990401042
62,58614.217,58056.492045783554,557.7249542164427
63,69758.1095,69102.0901602624,656.0193397375988
64,81867.7535,81080.50543635894,787.2480636410619
65,94947.6095,94027.44197569565,920.1675243043574
66,108994.34,107923.07731828795,1071.2626817120472
67,124010.9255,122777.09515209126,1233.8303479087335
68,139997.133,138592.76759433965,1404.3654056603555
