,Magnetic Field (Oe),True Field (Oe),Field correction
0,124998.9765,123747.77781903792,1251.1986809620867
1,110727.289,109596.63528319987,1130.6537168001378
2,97319.1565,96338.40911279971,980.7473872002884
3,84774.6015,83923.92462064451,850.6768793554947
4,73097.4065,72357.84950217232,739.5569978276762
5,62283.836,61653.63827425844,630.1977257415638
6,52332.6875,51793.18648297017,539.5010170298265
7,43250.9705,42798.153136603614,452.8173633963888
8,35034.123,34651.61024429938,382.5127557006199
9,27682.03,27358.14758523043,323.88241476957046
10,21194.7645,20935.21013723479,259.5543627652114
11,15572.25,15355.293237482842,216.9567625171585
12,10813.185,10632.964304240897,180.22069575910245
13,6920.671,6762.56867778501,158.10232221499064
14,3892.7815,3751.28066153993,141.5008384600701
15,1730.385,1593.0116199479419,137.3733800520581
16,432.5035,301.25918215632623,131.24431784367374
17,0.384,-136.78933095810797,137.17333095810795
18,-432.25,-564.3342784560701,132.08427845607014
19,-1729.801,-1857.9404697031953,128.13946970319535
20,-3892.733,-3996.748309866036,104.01530986603575
21,-6920.1515,-6979.054435905034,58.9029359050337
22,-10812.9405,-10821.960857330727,9.020357330726256
23,-15569.605,-15509.705674438981,-59.899325561018486
24,-21192.9915,-21061.42316135909,-131.56833864091095
25,-27681.234,-27471.148074484372,-210.08592551562833
26,-35032.8965,-34742.20341053182,-290.6930894681791
27,-43248.9105,-42868.505349936575,-380.4051500634232
28,-52335.18,-51852.59049157886,-482.589508421137
29,-62282.838,-61713.94748090965,-568.8905190903533
30,-73095.227,-72404.36128347741,-690.8657165225886
31,-84773.422,-83962.1715758011,-811.2504241989081
32,-97316.3985,-96379.32496670575,-937.0735332942422
33,-110724.469,-109647.8186345857,-1076.6503654143016
34,-125000.5235,-123768.47020585368,-1232.053294146317
35,-110725.2225,-109609.71136906081,-1115.5111309391941
36,-97319.8985,-96339.7157545457,-980.1827454542945
37,-84775.7345,-83928.52008422042,-847.2144157795847
38,-73097.6875,-72357.09886060026,-740.5886393997353
39,-62280.502,-61643.352783835886,-637.1492161641145
40,-52334.697,-51788.945510268866,-545.7514897311339
41,-43253.496,-42795.056771480384,-458.4392285196154
42,-35032.498,-34642.826268753844,-389.6717312461551
43,-27683.3525,-27356.19663932627,-327.1558606737308
44,-21194.914,-20932.417085239093,-262.4969147609081
45,-15570.6915,-15351.7839435379,-218.90755646210164
46,-10813.23,-10635.241029587503,-177.9889704124962
47,-6920.639,-6766.226085100374,-154.41291489962623
48,-3892.82,-3743.5171421432965,-149.30285785670367
49,-1730.192,-1594.388046513522,-135.8039534864779
50,-432.8005,-301.1345890831629,-131.6659109168371
51,0.0625,139.41918964592517,-139.35668964592517
52,432.3805,570.6508089821978,-138.27030898219778
53,1729.8295,1860.3843631704012,-130.55486317040118
54,3892.526,3998.047970088693,-105.52197008869325
55,6920.2825,6982.823402741148,-62.540902741147875
56,10813.112,10825.045034754601,-11.933034754601977
57,15570.4805,15510.726368461857,59.754131538142246
58,21191.1895,21060.521373019772,130.6681269802284
59,27679.1015,27471.19902014254,207.902479857461
60,35033.814,34743.319910969134,290.4940890308644
61,43251.23,42868.232503387364,382.9974966126392
62,52334.135,51847.892845738344,486.24215426165756
63,62281.4295,61682.722536591966,598.7069634080326
64,73095.5665,72403.52573354059,692.0407664594095
65,84775.414,83956.69072491492,818.7232750850817
66,97316.996,96359.98307571595,957.0129242840485
67,110726.176,109629.0521314425,1097.123868557508
68,124997.0895,123757.17751252699,1239.9119874730095
