,Magnetic Field (Oe),True Field (Oe),Field correction
0,64998.6325,64142.36164488584,856.2708551141623
1,62498.4845,61648.95124491553,849.5332550844687
2,59997.4705,59159.57763507155,837.8928649284499
3,57496.416,56702.863092783235,793.5529072167628
4,54997.9005,54230.03321888265,767.8672811173528
5,52499.2715,51764.576454700065,734.6950452999372
6,49998.217,49295.30544535448,702.9115546455141
7,47498.4625,46828.52092972526,669.9415702747428
8,44999.502,44363.77293801809,635.7290619819105
9,42498.674,41894.44645330679,604.2275466932115
10,39998.7405,39426.33042474633,572.4100752536688
11,37499.246,36956.42064178271,542.8253582172911
12,34996.5215,34482.65973065218,513.8617693478227
13,32499.259,32010.931114424497,488.32788557550157
14,29997.4095,29539.16066649249,458.2488335075104
15,27497.8915,27064.60615750375,433.28534249625227
16,24998.5625,24598.43943519561,400.1230648043893
17,22497.0995,22141.521284703664,355.57821529633657
18,19997.293,19671.598663209188,325.6943367908134
19,17497.6855,17193.403423703407,304.282076296593
20,14997.5325,14722.339747549111,275.1927524508883
21,12500.2515,12257.990781377634,242.26071862236677
22,10000.179,9781.687309049528,218.49169095047182
23,7500.0455,7303.610787316395,196.43471268360554
24,5000.3485,4828.641749677499,171.70675032250074
25,2500.1125,2354.9919489591684,145.12055104083174
26,0.2405,-135.8178048435374,136.0583048435374
27,-2499.8285,-2604.8665710510736,105.03807105107353
28,-4999.917,-5063.905941106858,63.988941106857965
29,-7499.752,-7519.8272086807565,20.075208680756077
30,-9999.8995,-9979.412672191687,-20.486827808312228
31,-12499.8975,-12429.568131581836,-70.32936841816263
32,-14996.6745,-14885.130527901762,-111.54397209823765
33,-17497.7545,-17334.669450147114,-163.08504985288528
34,-20001.0155,-19800.579592283986,-200.4359077160152
35,-22501.5125,-22262.90712133164,-238.6053786683624
36,-24996.718,-24725.635316117572,-271.0826838824287
37,-27497.8995,-27181.21956841883,-316.6799315811695
38,-29998.952,-29649.13226004842,-349.81973995158114
39,-32498.881,-32110.916251438935,-387.9647485610658
40,-34997.7755,-34573.67101029208,-424.1044897079264
41,-37497.801,-37031.9558063222,-465.8451936778001
42,-39996.584,-39492.03951866927,-504.5444813307331
43,-42497.2165,-41961.59435647779,-535.6221435222105
44,-44997.818,-44429.11180715628,-568.7061928437179
45,-47499.549,-46890.54209593673,-609.0069040632661
46,-49998.09,-49353.129371864976,-644.9606281350207
47,-52499.7285,-51817.90069012384,-681.8278098761584
48,-55000.324,-54284.53131104622,-715.7926889537775
49,-57498.9785,-56746.61613306922,-752.3623669307781
50,-59998.7365,-59208.09969425026,-790.6368057497384
51,-62499.498,-61685.23290247715,-814.2650975228462
52,-65000.119,-64151.59744909655,-848.521550903446
53,-62497.0585,-61629.74106629577,-867.3174337042292
54,-59997.295,-59176.54322305829,-820.75177694171
55,-57499.4925,-56696.8504443981,-802.6420556019002
56,-54995.4925,-54233.37227773441,-762.120222265592
57,-52498.432,-51762.17814934757,-736.2538506524288
58,-49998.0955,-49297.65060921886,-700.4448907811457
59,-47498.9025,-46809.79701499017,-689.1054850098299
60,-44997.418,-44361.02770045901,-636.390299540988
61,-42502.209,-41893.36556350056,-608.8434364994391
62,-40001.5545,-39418.17758364547,-583.3769163545294
63,-37501.502,-36945.25576299289,-556.246237007108
64,-35001.838,-34482.480017930946,-519.3579820690575
65,-32501.0665,-32010.124090954774,-490.94240904522667
66,-30000.3105,-29540.05252453155,-460.2579754684484
67,-27500.7195,-27067.958999818493,-432.76050018150636
68,-25002.329,-24605.578528499856,-396.75047150014507
69,-22503.1515,-22141.963062414798,-361.18843758520234
70,-19996.62,-19666.928340865234,-329.69165913476536
71,-17498.54,-17195.436375272093,-303.103624727908
72,-14998.495,-14727.914411075073,-270.5805889249277
73,-12500.301,-12252.907431265427,-247.3935687345729
74,-10000.1,-9778.326456420647,-221.77354357935292
75,-7500.187,-7299.846174106631,-200.34082589336867
76,-5000.1125,-4825.107199285669,-175.0053007143315
77,-2500.2025,-2344.4552368053573,-155.74726319464253
78,-0.0945,135.20720753359694,-135.30170753359695
79,2499.831,2609.549266561035,-109.71826656103485
80,4999.8755,5067.413667986,-67.53816798600019
81,7499.923,7519.365830034331,-19.442830034331564
82,9999.785,9982.469758310503,17.31524168949727
83,12499.854,12437.430769701377,62.423230298622
84,14998.8065,14885.69870156405,113.10779843595083
85,17497.1195,17342.30169352387,154.8178064761305
86,19998.466,19808.411614283472,190.0543857165285
87,22499.7115,22265.899284214473,233.81221578552868
88,24999.3245,24724.829986347773,274.4945136522256
89,27497.1855,27180.4176246327,316.767875367299
90,29998.709,29648.498725041954,350.21027495804447
91,32496.2365,32104.3535465014,391.8829534985998
92,34998.221,34577.211140577245,421.0098594227529
93,37499.4335,37041.60235980334,457.83114019665663
94,39997.4515,39498.798648464945,498.6528515350583
95,42498.254,41966.93380204506,531.3201979549412
96,44999.7425,44427.07803756301,572.6644624369874
97,47496.8885,46892.94217795209,603.9463220479083
98,50000.3945,49357.89850231881,642.4959976811951
99,52499.2635,51816.58308551193,682.6804144880734
100,54998.1775,54280.09347908077,718.0840209192247
101,57498.6835,56743.82189496495,754.8616050350465
102,59997.543,59208.33293273384,789.2100672661545
103,62498.1795,61666.246048483255,831.9334515167429
104,64998.9785,64150.02718739814,848.9513126018574
