,Magnetic Field (Oe),True Field (Oe),Field correction
0,44997.531,44426.71098667867,570.8200133213322
1,41248.0625,40669.03327956341,579.0292204365905
2,37500.369,36958.73460581901,541.6343941809901
3,33749.168,33245.647134231534,503.5208657684634
4,29998.8205,29546.137106106387,452.68339389361427
5,26247.628,25841.701684488344,405.92631551165687
6,22498.532,22141.036563816495,357.49543618350435
7,18747.0985,18432.887722403284,314.21077759671607
8,15000.8505,14727.657349505205,273.1931504947952
9,11250.25,11018.914272891718,231.3357271082823
10,7500.3815,7303.028216063573,197.35328393642703
11,3750.1325,3586.4927267379967,163.63977326200347
12,0.2945,-133.06974883165918,133.36424883165918
13,-3749.8495,-3836.621804015878,86.77230401587803
14,-7499.924,-7518.577592471978,18.6535924719783
15,-11249.839,-11207.637708826083,-42.201291173916616
16,-14997.238,-14883.369442364377,-113.86855763562198
17,-18749.9465,-18569.644237348606,-180.30226265139208
18,-22496.913,-22260.602584098237,-236.31041590176392
19,-26249.134,-25953.378187818373,-295.7558121816255
20,-29996.9805,-29643.057889491385,-353.92261050861634
21,-33748.996,-33342.29237090514,-406.70362909485993
22,-37499.918,-37033.06483823383,-466.8531617661647
23,-41246.699,-40727.54555751769,-519.1534424823112
24,-44999.2345,-44425.88047935051,-573.3540206494872
25,-41247.4395,-40667.363182887624,-580.0763171123763
26,-37499.236,-36950.95481809475,-548.281181905244
27,-33748.1875,-33247.87760334718,-500.3098966528196
28,-29997.092,-29543.888919125857,-453.2030808741438
29,-26248.2775,-25838.87057596152,-409.4069240384815
30,-22498.9255,-22135.11373023832,-363.8117697616799
31,-18748.826,-18428.941539309788,-319.884460690213
32,-14998.349,-14724.140236871717,-274.20876312828295
33,-11250.061,-11014.75072528885,-235.31027471114976
34,-7500.2155,-7300.266926364923,-199.94857363507708
35,-3750.2945,-3580.4733430520428,-169.8211569479572
36,-0.18,136.6129052833962,-136.7929052833962
37,3749.812,3841.142479229247,-91.33047922924698
38,7499.9675,7522.2511056296225,-22.283605629622798
39,11249.7185,11205.348492935776,44.37000706422441
40,14999.0545,14884.785489155825,114.26901084417477
41,18746.677,18569.697521950275,176.979478049725
42,22499.0775,22264.215286893686,234.862213106313
43,26248.527,25954.272072895837,294.25492710416074
44,30000.4715,29647.634817519873,352.8366824801269
45,33749.209,33343.79072867185,405.41827132815524
46,37497.215,37035.13412371238,462.0808762876186
47,41248.549,40726.7453103794,521.8036896205958
48,44998.053,44424.52269383906,573.5303061609375
