,Magnetic Field (Oe),True Field (Oe)
1,999.841,1058.553324
2,976.8215,1058.980993
3,969.577,1053.917231
4,955.721,1031.570902
5,934.789,1002.857037
6,909.3095,978.6427204
7,884.933,950.2208869
8,860.5565,924.2414489
9,835.1035,898.9716396
10,809.5955,870.9880441
11,784.145,845.0618991
12,759.978,818.797191
13,735.826,792.0244602
14,710.15,766.9628368
15,685.616,740.1038857
16,661.534,713.4343265
17,636.309,688.0511086
18,612.1855,661.2064192
19,588.062,634.6563897
20,562.877,608.9100187
21,537.679,582.7921068
22,512.525,556.4790437
23,487.44,530.2852762
24,463.3865,504.6446152
25,439.361,478.3937733
26,414.2765,452.0299857
27,390.2935,426.4008507
28,365.971,399.0872334
29,340.548,374.2895876
30,316.578,347.8845967
31,292.609,322.038398
32,267.6245,296.3172504
33,242.6385,270.185122
34,217.582,243.4474923
35,193.6395,218.3575953
36,169.727,192.0938838
37,144.7845,166.1065595
38,119.798,140.0813271
39,95.8715,114.119098
40,72.086,88.05375256
41,48.2855,62.33934263
42,24.0615,36.15839957
43,-1.178,10.35937933
44,-26.1365,-15.7302987
45,-50.926,-41.37042803
46,-74.443,-67.26740436
47,-98.0585,-93.32150837
48,-122.7205,-118.4696402
49,-147.4385,-144.3704942
50,-171.04,-170.4580907
51,-194.6285,-195.7091361
52,-219.4455,-221.4627347
53,-244.121,-247.2295864
54,-267.695,-273.4226107
55,-291.72,-298.9943522
56,-316.7055,-324.8378758
57,-340.35,-350.0412981
58,-363.896,-375.9952063
59,-388.3885,-401.0767025
60,-413.021,-427.1327035
61,-436.524,-452.8165325
62,-459.986,-478.5770849
63,-484.52,-504.2454224
64,-509.0815,-528.8265531
65,-533.56,-555.0648259
66,-556.95,-580.170299
67,-580.3535,-605.1792922
68,-605.0855,-630.527438
69,-629.676,-655.8854119
70,-652.9685,-681.0226781
71,-677.4465,-707.1302815
72,-700.665,-730.2717037
73,-723.7725,-758.1092737
74,-747.927,-781.4237562
75,-771.091,-807.2183014
76,-795.2865,-831.5054532
77,-819.4255,-856.9926637
78,-842.435,-882.3098508
79,-865.4455,-906.9199197
80,-889.4875,-928.9431258
81,-912.348,-956.1322511
82,-935.567,-982.0674805
83,-956.22,-1006.399234
84,-971.1695,-1025.327509
85,-983.8475,-1038.759541
86,-999.9555,-1063.160098
87,-978.648,-1064.375271
88,-970.781,-1058.596878
89,-954.4815,-1032.928805
90,-932.0385,-1006.580997
91,-907.3075,-977.8164644
92,-881.4175,-952.8436283
93,-855.513,-925.2094032
94,-830.8945,-898.6963034
95,-805.9225,-871.1244554
96,-779.8065,-845.950865
97,-754.1425,-818.6883953
98,-729.524,-791.3661952
99,-704.9195,-765.9756803
100,-679.2835,-737.5989984
101,-654.848,-711.3160338
102,-630.3555,-685.4690049
103,-604.7485,-658.1461241
104,-579.241,-631.50766
105,-553.7045,-605.9593458
106,-528.1525,-579.4467517
107,-503.7455,-551.6261829
108,-478.93,-525.7541833
109,-452.9685,-499.619542
110,-428.674,-472.5883601
111,-404.4085,-446.4072969
112,-378.913,-420.3599138
113,-353.5305,-393.9619091
114,-329.336,-365.5856075
115,-305.029,-340.4452863
116,-279.605,-314.3719941
117,-255.253,-287.5131866
118,-230.873,-261.534523
119,-205.534,-235.1015105
120,-180.1955,-208.7682344
121,-154.475,-182.0723293
122,-128.8795,-156.3286426
123,-104.768,-129.5453263
124,-81.618,-103.4484276
125,-56.378,-77.07903938
126,-31.308,-51.1031468
127,-7.239,-24.78126404
128,17.946,1.505854901
129,42.9605,28.08604059
130,66.931,54.14498396
131,90.9,80.04180122
132,115.884,106.0047069
133,139.699,131.9443807
134,163.556,158.1393449
135,188.8955,184.3895511
136,213.007,209.7720119
137,237.8655,235.9884114
138,262.8085,262.0582755
139,286.764,288.6292871
140,311.779,314.3616454
141,335.5925,340.0292297
142,359.35,366.2081214
143,384.1815,391.6710898
144,408.9835,417.0177067
145,432.7545,443.5500152
146,457.53,469.8772539
147,482.2765,495.2139475
148,504.8185,520.6839368
149,528.647,546.8196812
150,553.646,571.4932347
151,578.335,598.1658593
152,601.8245,623.4910697
153,625.314,648.2980581
154,649.9335,674.3774635
155,674.453,699.3205274
156,698.945,725.5262112
157,722.3195,751.0864897
158,745.6245,776.3219511
159,769.991,802.1295824
160,794.4405,827.5854754
161,817.7035,851.1984073
162,841.2495,877.174242
163,866.011,902.4173411
164,890.2935,927.8465726
165,914.408,951.7970083
166,937.503,978.6599542
167,958.9065,1001.665761
168,975.88,1025.328785
169,987.132,1039.736076
170,1000.131,1058.280217
