,Magnetic Field (Oe),True Field (Oe),Field correction
0,29999.408,29645.0019587386,354.40604126139806
1,27496.6155,27127.833467252338,368.782032747662
2,24998.509,24636.039215781162,362.46978421883614
3,22497.6485,22151.810863146282,345.8376368537174
4,19996.8615,19675.676606622364,321.1848933776346
5,17497.531,17200.781613666168,296.74938633383135
6,14997.3435,14724.938513397452,272.4049866025489
7,12500.175,12259.140722391043,241.03427760895647
8,10000.0025,9782.22341140421,217.7790885957911
9,7500.2695,7305.088106285108,195.1813937148927
10,5000.346,4828.109379664257,172.23662033574237
11,2500.265,2355.247100658758,145.0178993412419
12,0.2755,-132.9443302458979,133.2198302458979
13,-2499.8285,-2603.7960043361663,103.96750433616626
14,-4999.879,-5065.26745208145,65.38845208144994
15,-7499.8655,-7519.7247628526575,19.859262852657594
16,-9999.841,-9976.934589220551,-22.90641077944929
17,-12499.9725,-12433.246147812675,-66.72635218732466
18,-14997.2635,-14882.548799058162,-114.71470094183678
19,-17498.8565,-17343.383754829145,-155.4727451708568
20,-19997.2995,-19800.49102146684,-196.80847853315936
21,-22497.3565,-22258.685245809796,-238.67125419020522
22,-24997.4255,-24723.23009573171,-274.1954042682919
23,-27496.8785,-27180.79175722219,-316.0867427778103
24,-29998.638,-29648.76494404448,-349.8730559555188
25,-27502.743,-27133.750739289848,-368.99226071015073
26,-25000.1885,-24637.326626248927,-362.8618737510733
27,-22502.3855,-22151.359612546643,-351.0258874533574
28,-19997.154,-19674.282725665984,-322.87127433401474
29,-17499.9345,-17202.68965748369,-297.2448425163093
30,-14998.1935,-14724.060677254063,-274.1328227459362
31,-12500.2715,-12255.15778314416,-245.11371685584163
32,-10000.1185,-9778.21505675227,-221.90344324773105
33,-7500.285,-7299.807505480841,-200.47749451915843
34,-5000.277,-4824.0344692657,-176.2425307343001
35,-2500.267,-2342.481312438889,-157.785687561111
36,-0.1795,137.90784477329817,-138.08734477329816
37,2499.6695,2604.763463484205,-105.09396348420523
38,4999.9295,5064.693912663969,-64.76441266396887
39,7499.697,7523.459497011832,-23.762497011832238
40,9999.832,9976.18589040292,23.646109597080795
41,12499.8895,12434.633018405102,65.2564815948972
42,14996.4305,14879.99841257458,116.43208742542083
43,17497.705,17340.817861057953,156.8871389420492
44,19996.7435,19798.17534649819,198.56815350181205
45,22498.296,22260.927547251,237.3684527489968
46,24997.741,24718.31258832738,279.42841167262304
47,27497.081,27178.846602979498,318.2343970205002
48,29998.5245,29643.872314488308,354.65218551169164
