,Magnetic Field (Oe),True Field (Oe),Field correction
0,69999.879,69081.5754661279,918.3035338720947
1,62008.0685,61142.53769061831,865.530809381693
2,54498.6445,53731.76185472399,766.8826452760113
3,47473.881,46804.07424530673,669.8067546932725
4,40935.738,40350.53990212724,585.1980978727588
5,34881.1075,34364.34797337836,516.7595266216376
6,29307.0245,28853.920524155266,453.1039758447332
7,24222.364,23835.883030342196,386.48096965780496
8,19622.1175,19296.3886165504,325.7288834495994
9,15503.5715,15226.656102290684,276.9153977093156
10,11868.7,11634.13425593267,234.56574406733125
11,8719.711,8512.427509960215,207.28349003978474
12,6055.5655,5875.50061187649,180.06488812350926
13,3875.6675,3715.56070680266,160.1067931973398
14,2179.9545,2029.807028723361,150.14747127663873
15,969.135,829.1774239246095,139.95757607539053
16,242.3225,110.80721340678454,131.51528659321545
17,0.2065,-131.24512660769966,131.45162660769967
18,-242.0315,-375.37730212420644,133.34580212420644
19,-968.5305,-1093.721468143751,125.19096814375109
20,-2179.619,-2292.086792241868,112.46779224186776
21,-3875.427,-3961.218298173356,85.7912981733557
22,-6055.3275,-6105.424893082799,50.09739308279859
23,-8719.249,-8718.484616517673,-0.7643834823265934
24,-11868.161,-11811.480494868596,-56.68050513140406
25,-15498.725,-15370.58424086481,-128.14075913519082
26,-19618.1145,-19422.475422359286,-195.63907764071337
27,-24220.3905,-23956.827218758786,-263.563281241215
28,-29306.7685,-28962.19322331906,-344.57527668093826
29,-34877.615,-34452.72863734382,-424.8863626561797
30,-40931.793,-40415.29871684384,-516.4942831561566
31,-47473.4395,-46857.83687193036,-615.6026280696387
32,-54495.9335,-53775.0585219281,-720.8749780719008
33,-62007.551,-61196.64925768041,-810.901742319591
34,-69997.6565,-69074.39805193763,-923.2584480623627
35,-62008.834,-61123.19035619835,-885.6436438016535
36,-54499.4965,-53728.37508988445,-771.1214101155492
37,-47474.8535,-46794.1186221233,-680.7348778766973
38,-40933.803,-40330.56194444731,-603.2410555526876
39,-34876.932,-34360.531750034934,-516.4002499650669
40,-29307.37,-28852.316014883563,-455.0539851164358
41,-24218.282,-23827.591301291395,-390.69069870860403
42,-19616.8565,-19291.09150237747,-325.764997622533
43,-15499.17,-15221.093250183416,-278.0767498165842
44,-11868.8025,-11630.815103543233,-237.98739645676687
45,-8719.902,-8508.964679959578,-210.9373200404225
46,-6055.34,-5870.87007417984,-184.46992582015992
47,-3875.702,-3712.5378767062107,-163.16412329378954
48,-2180.077,-2029.6126001753253,-150.46439982467496
49,-968.952,-829.0600068038119,-139.89199319618808
50,-242.232,-105.5627674245716,-136.6692325754284
51,-0.3225,136.2615689769859,-136.5840689769859
52,242.0635,377.18927441867794,-135.12577441867793
53,968.8185,1094.7766398884899,-125.95813988848988
54,2179.7295,2294.3124719641833,-114.58297196418334
55,3875.3815,3962.050241429632,-86.66874142963206
56,6055.451,6109.14878740936,-53.69778740935999
57,8719.701,8720.36127492532,-0.6602749253215734
58,11868.365,11814.317655814613,54.047344185386464
59,15499.3915,15378.413801005954,120.97769899404557
60,19615.8025,19420.615704378404,195.1867956215974
61,24219.554,23951.550124859958,268.0038751400425
62,29305.1885,28965.181546641394,340.00695335860655
63,34878.871,34454.2340055689,424.6369944311009
64,40933.67,40419.15299260791,514.517007392089
65,47473.1835,46858.1674949732,615.0160050268023
66,54496.709,53779.26693972402,717.4420602759856
67,62007.631,61194.427387841155,813.2036121588462
68,69999.633,69073.99900645,925.63399355
