,Magnetic Field (Oe),True Field (Oe),Field correction
0,119996.602,118791.18931572685,1205.4126842731494
1,106299.1405,105216.92866652182,1082.2118334781699
2,93426.141,92472.6988578501,953.4421421498992
3,81383.7695,80561.73491113009,822.0345888699085
4,70174.4455,69459.18774827386,715.2577517261379
5,59791.8205,59184.84761021705,606.9728897829482
6,50239.375,49717.783307417,521.5916925830024
7,41523.092,41084.04420592088,439.047794079117
8,33636.252,33259.720108116664,376.53189188333636
9,26576.111,26264.273120334958,311.83787966504315
10,20349.499,20095.294669186795,254.20433081320516
11,14948.628,14736.070774715814,212.55722528418664
12,10380.7685,10202.965196056059,177.8033039439415
13,6643.8965,6490.962456678393,152.93404332160662
14,3737.254,3595.5521849690467,141.70181503095318
15,1660.932,1522.540848441495,138.39115155850504
16,415.2655,283.1938691674621,132.0716308325379
17,0.1595,-136.01343921652045,136.17293921652046
18,-415.029,-551.0355376082299,136.0065376082299
19,-1660.789,-1788.7177205338544,127.9287205338544
20,-3736.813,-3840.380869751678,103.56786975167779
21,-6643.2005,-6710.7389153293025,67.53841532930255
22,-10380.4795,-10393.535189959062,13.055689959062875
23,-14944.794,-14891.657723412209,-53.136276587791144
24,-20344.1945,-20221.771650188144,-122.4228498118573
25,-26574.1415,-26380.045386630423,-194.09611336957823
26,-33631.1445,-33356.508242021606,-274.6362579783963
27,-41521.0295,-41158.07891714752,-362.95058285247796
28,-50242.551,-49784.198958508125,-458.35204149187484
29,-59789.6565,-59222.39915413051,-567.2573458694897
30,-70173.6015,-69513.65803246519,-659.9434675348166
31,-81380.9805,-80604.82453276063,-776.1559672393778
32,-93426.395,-92522.00219129738,-904.3928087026288
33,-106297.4335,-105263.67796866264,-1033.7555313373596
34,-119998.7265,-118820.00784811175,-1178.7186518882518
35,-106299.9885,-105231.41161000742,-1068.5768899925897
36,-93424.4925,-92483.03442443647,-941.4580755635252
37,-81384.8005,-80562.61024716574,-822.1902528342616
38,-70174.8125,-69463.55796611973,-711.2545338802738
39,-59789.742,-59182.97194234699,-606.7700576530115
40,-50244.1505,-49715.84400815702,-528.3064918429809
41,-41524.8885,-41084.12907880484,-440.7594211951582
42,-33634.4065,-33258.246969659136,-376.15953034086124
43,-26574.5175,-26263.38355337024,-311.13394662976134
44,-20347.2295,-20091.732247885462,-255.49725211453915
45,-14950.7395,-14736.343026920775,-214.39647307922496
46,-10380.8155,-10201.900537502719,-178.91496249728152
47,-6643.7255,-6482.092571364696,-161.63292863530387
48,-3737.2015,-3592.399610473887,-144.80188952611297
49,-1661.065,-1523.1773140520884,-137.88768594791168
50,-415.4035,-281.618173451934,-133.785326548066
51,-0.3175,140.28738972034606,-140.60488972034605
52,414.8865,548.9090066572732,-134.02250665727314
53,1660.596,1787.9577303187432,-127.36173031874318
54,3736.7375,3847.273297570353,-110.53579757035277
55,6643.5965,6711.871006543521,-68.27450654352106
56,10380.4335,10394.097467390087,-13.663967390088146
57,14945.539,14896.522991759768,49.01600824023262
58,20344.618,20222.68258645801,121.93541354198896
59,26570.6945,26376.5081832624,194.1863167376032
60,33630.4765,33352.87619318927,277.60030681072385
61,41520.492,41155.03385707207,365.45814292792784
62,50241.4295,49781.017157847185,460.4123421528129
63,59792.4025,59223.25929387997,569.1432061200248
64,70170.5115,69511.5486981422,658.9628018577932
65,81387.879,80608.6343422196,779.2446577804076
66,93425.0355,92513.18927357363,911.8462264263653
67,106295.1955,105239.77377090011,1055.4217290998931
68,119999.1015,118803.12211876611,1195.9793812338903
