,Magnetic Field (Oe),True Field (Oe),Field correction
0,54998.6815,54288.673117203885,710.0083827961134
1,52498.363,51778.19855574134,720.1644442586548
2,49997.9315,49298.078732136724,699.8527678632745
3,47497.7245,46824.84629637514,672.8782036248595
4,44998.7265,44362.84085396694,635.8856460330571
5,42499.2185,41895.42695771641,603.791542283594
6,39996.6055,39415.49499839437,581.1105016056244
7,37498.666,36947.24728920837,551.4187107916296
8,34996.799,34486.99144350833,509.8075564916726
9,32497.9885,32024.078271039074,473.91022896092545
10,29997.137,29544.8801797491,452.2568202508992
11,27498.59,27085.37570926861,413.21429073139007
12,24998.414,24613.64828599676,384.76571400324246
13,22498.5,22141.454055107315,357.04594489268493
14,19998.241,19665.465353449086,332.77564655091555
15,17499.641,17201.967484189445,297.6735158105548
16,14998.212,14727.218584889231,270.9934151107682
17,12500.2695,12259.069645300366,241.19985469963467
18,10000.06,9782.854346976046,217.20565302395335
19,7500.377,7302.737635303244,197.63936469675627
20,5000.271,4829.484286521885,170.7867134781145
21,2500.336,2351.3077912463978,149.02820875360203
22,0.1075,-134.17033794591154,134.27783794591153
23,-2499.8125,-2603.4862472771842,103.67374727718425
24,-4999.712,-5064.509098844961,64.7970988449606
25,-7499.6935,-7517.195638763996,17.50213876399539
26,-9999.7015,-9978.487109043104,-21.21439095689493
27,-12499.7195,-12435.045088626577,-64.67441137342212
28,-14997.146,-14882.216283745223,-114.9297162547773
29,-17499.2205,-17339.652796602277,-159.56770339772265
30,-20000.296,-19801.88262023817,-198.41337976182695
31,-22496.971,-22256.187226689453,-240.78377331054799
32,-25001.2815,-24722.762314622913,-278.51918537708843
33,-27498.465,-27185.463901596715,-313.00109840328514
34,-29998.2275,-29641.824910258503,-356.40258974149765
35,-32498.7395,-32111.79673008221,-386.94276991779043
36,-34998.307,-34574.79858879269,-423.5084112073091
37,-37496.6955,-37035.53258755572,-461.1629124442843
38,-39997.873,-39500.15787066564,-497.71512933436316
39,-42499.242,-41965.29190812618,-533.9500918738195
40,-44998.7305,-44424.652132486284,-574.0783675137136
41,-47498.3245,-46889.91221955354,-608.4122804464641
42,-50000.078,-49349.48126877421,-650.5967312257926
43,-52500.4315,-51819.98966065397,-680.4418393460292
44,-54997.914,-54280.77871790779,-717.1352820922039
45,-52497.969,-51775.49734786667,-722.4716521333248
46,-49997.09,-49294.03595535894,-703.0540446410596
47,-47497.324,-46823.77787309389,-673.5461269061125
48,-44997.8165,-44354.851637464715,-642.9648625352856
49,-42499.83,-41886.1118042572,-613.7181957428038
50,-40001.961,-39421.50888991288,-580.4521100871207
51,-37500.334,-36947.93235038316,-552.4016496168406
52,-35003.0155,-34481.656422750966,-521.3590772490352
53,-32500.0595,-32013.991093944212,-486.0684060557869
54,-30002.653,-29551.530809156615,-451.1221908433836
55,-27502.281,-27073.680971181977,-428.6000288180221
56,-25003.3505,-24613.616539465234,-389.7339605347661
57,-22498.6045,-22134.913149794524,-363.69135020547765
58,-19997.169,-19668.23208202476,-328.936917975243
59,-17497.6925,-17193.49024735209,-304.20225264791225
60,-14998.23,-14721.508488571248,-276.7215114287519
61,-12500.288,-12256.456802275836,-243.83119772416467
62,-10000.0475,-9779.736904703543,-220.3105952964579
63,-7500.2835,-7300.066747306456,-200.21675269354364
64,-5000.2575,-4825.745673913731,-174.51182608626914
65,-2500.1255,-2349.9177796653485,-150.20772033465164
66,-0.1935,137.47541193515445,-137.66891193515445
67,2499.912,2609.2842278943685,-109.37222789436873
68,4999.7935,5064.349303345788,-64.55580334578826
69,7499.786,7518.706948091935,-18.920948091935315
70,9999.738,9978.050318310015,21.687681689983947
71,12499.7305,12436.132972015454,63.597527984546105
72,14996.2525,14883.050839145553,113.20166085444725
73,17498.796,17344.384808132116,154.41119186788274
74,19996.8455,19801.339195490207,195.50630450979224
75,22497.8185,22265.35707783943,232.46142216056978
76,24996.372,24720.36048522055,276.0115147794495
77,27497.5135,27187.35370547599,310.15979452401007
78,29998.043,29651.477158767022,346.56584123297944
79,32498.7405,32107.446996140054,391.2935038599462
80,34997.732,34576.71083154208,421.02116845792625
81,37499.0565,37042.75089808784,456.3056019121577
82,39999.883,39499.874708970194,500.0082910298079
83,42498.381,41964.80340865179,533.5775913482139
84,44998.965,44431.36735942384,567.5976405761539
85,47497.8715,46893.062386152815,604.8091138471864
86,49999.043,49356.16008758402,642.8829124159747
87,52499.9785,51810.242479938126,689.7360200618714
88,54999.34,54282.701316549064,716.6386834509321
